ref_date_raw,start_year,geo,sex,age_group,indicator,value,uom,metric_type,quality_flag,ref_date,dguid,characteristic,uom_id,scalar_factor,scalar_id,vector,coordinate,symbol,terminated,decimals
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",49.7,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964359,8.1.1.3.4,,,1
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",10.4,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964366,8.1.1.4.4,,,1
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",14.6,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964366,8.1.1.4.4,,,1
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",17.2,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964366,8.1.1.4.4,,,1
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",19.2,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964373,8.1.1.5.4,,,1
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",19.6,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964373,8.1.1.5.4,,,1
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",19.0,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964373,8.1.1.5.4,,,1
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over",Mood disorder,12.2,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964415,8.1.1.11.4,,,1
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over",Mood disorder,10.7,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964415,8.1.1.11.4,,,1
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over",Mood disorder,13.7,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964415,8.1.1.11.4,,,1
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over",Anxiety disorder,12.4,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964422,8.1.1.12.4,,,1
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over",Anxiety disorder,12.9,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964422,8.1.1.12.4,,,1
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000211,Percent,239,units,0,v1806964422,8.1.1.12.4,,,1
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",26.0,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964443,8.1.1.15.4,,,1
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",31.0,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964443,8.1.1.15.4,,,1
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",24.1,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964443,8.1.1.15.4,,,1
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over",Heavy drinking,21.3,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964471,8.1.1.19.4,,,1
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over",Heavy drinking,22.7,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964471,8.1.1.19.4,,,1
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over",Heavy drinking,22.5,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964471,8.1.1.19.4,,,1
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",75.4,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964499,8.1.1.23.4,,,1
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.7,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964499,8.1.1.23.4,,,1
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",67.4,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964499,8.1.1.23.4,,,1
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",68.0,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964534,8.1.2.3.4,,,1
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",56.2,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964534,8.1.2.3.4,,,1
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",53.7,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964534,8.1.2.3.4,,,1
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, fair or poor",9.3,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964541,8.1.2.4.4,,,1
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, fair or poor",11.8,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964541,8.1.2.4.4,,,1
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, fair or poor",16.9,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964541,8.1.2.4.4,,,1
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",17.2,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964548,8.1.2.5.4,,,1
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.1,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964548,8.1.2.5.4,,,1
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",15.9,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964548,8.1.2.5.4,,,1
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over",Mood disorder,6.8,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964590,8.1.2.11.4,,,1
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over",Mood disorder,7.5,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964590,8.1.2.11.4,,,1
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over",Mood disorder,10.7,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964590,8.1.2.11.4,,,1
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over",Anxiety disorder,10.3,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964597,8.1.2.12.4,,,1
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over",Anxiety disorder,9.4,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964597,8.1.2.12.4,,,1
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000211,Percent,239,units,0,v1806964597,8.1.2.12.4,,,1
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over","Cannabis use, past 12 months",32.0,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964618,8.1.2.15.4,,,1
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over","Cannabis use, past 12 months",38.9,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964618,8.1.2.15.4,,,1
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over","Cannabis use, past 12 months",30.9,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964618,8.1.2.15.4,,,1
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over",Heavy drinking,29.9,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964646,8.1.2.19.4,,,1
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over",Heavy drinking,27.1,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964646,8.1.2.19.4,,,1
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over",Heavy drinking,25.6,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964646,8.1.2.19.4,,,1
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",79.2,percent,percent,,2019/2020,2021A000211,Percent,239,units,0,v1806964660,8.1.2.23.4,,,1
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",75.9,percent,percent,,2021/2022,2021A000211,Percent,239,units,0,v1806964660,8.1.2.23.4,,,1
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",69.0,percent,percent,,2023/2024,2021A000211,Percent,239,units,0,v1806964660,8.1.2.23.4,,,1
