ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",25.0,21.6,28.7,percent,percent,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",14.8,13.1,16.7,percent,percent,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, work",19.0,17.2,20.9,percent,percent,
2016,2016,Alberta,Males,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",89.8,85.0,93.2,percent,percent,
2016,2016,Alberta,Males,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",82.0,76.2,86.7,percent,percent,
2016,2016,Alberta,Males,12 to 17 years,"Main source of stress in day-to-day life, family",7.3,4.3,12.0,percent,percent,E
2016,2016,Alberta,Males,12 to 17 years,"Main source of stress in day-to-day life, none",11.1,6.8,17.6,percent,percent,E
2016,2016,Alberta,Males,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",61.8,53.4,69.5,percent,percent,
2016,2016,Alberta,Males,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",11.0,6.9,17.0,percent,percent,E
2016,2016,Alberta,Males,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",88.3,84.8,91.1,percent,percent,
2016,2016,Alberta,Males,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",82.9,79.1,86.2,percent,percent,
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, family",6.7,4.5,9.8,percent,percent,E
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",24.8,20.6,29.5,percent,percent,
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, health",3.2,1.7,6.0,percent,percent,E
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, none",2.9,1.9,4.6,percent,percent,E
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, other",3.5,1.9,6.7,percent,percent,E
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",10.0,7.2,13.8,percent,percent,E
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",12.8,10.0,16.3,percent,percent,
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, work",36.0,31.7,40.4,percent,percent,
2016,2016,Alberta,Males,35 to 49 years,"Ability to handle the day-to-day demands in life, good or excellent",90.0,86.3,92.7,percent,percent,
2016,2016,Alberta,Males,35 to 49 years,"Ability to handle unexpected and difficult problems, good or excellent",85.9,81.8,89.2,percent,percent,
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, family",10.3,7.5,14.1,percent,percent,E
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, financial concerns",26.8,22.4,31.6,percent,percent,
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, health",2.1,1.1,3.7,percent,percent,E
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, none",5.3,3.4,8.2,percent,percent,E
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, other",1.7,1.0,2.8,percent,percent,E
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, time pressures/ not enough time",12.9,9.8,16.9,percent,percent,
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, work",40.1,35.3,45.2,percent,percent,
2016,2016,Alberta,Males,50 to 64 years,"Ability to handle the day-to-day demands in life, good or excellent",91.6,88.7,93.9,percent,percent,
2016,2016,Alberta,Males,50 to 64 years,"Ability to handle unexpected and difficult problems, good or excellent",85.5,80.9,89.1,percent,percent,
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, family",13.3,10.1,17.3,percent,percent,
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, financial concerns",21.2,17.2,25.8,percent,percent,
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, health",5.7,4.1,7.8,percent,percent,E
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, none",11.1,8.1,15.0,percent,percent,E
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, other",3.0,1.9,4.7,percent,percent,E
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, time pressures/ not enough time",10.8,7.6,15.1,percent,percent,E
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, work",34.9,30.0,40.2,percent,percent,
2016,2016,Alberta,Males,65 years and over,"Ability to handle the day-to-day demands in life, good or excellent",93.4,90.6,95.4,percent,percent,
2016,2016,Alberta,Males,65 years and over,"Ability to handle unexpected and difficult problems, good or excellent",88.1,84.5,91.0,percent,percent,
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, family",17.3,13.4,22.1,percent,percent,
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, financial concerns",14.7,11.2,19.0,percent,percent,
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, health",20.2,16.3,24.6,percent,percent,
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, none",29.1,24.2,34.4,percent,percent,
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, other",4.4,2.9,6.5,percent,percent,E
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, time pressures/ not enough time",8.0,5.1,12.4,percent,percent,E
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, work",6.4,4.1,9.8,percent,percent,E
2016,2016,Alberta,Males,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",90.2,88.6,91.7,percent,percent,
2016,2016,Alberta,Males,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",84.8,83.1,86.5,percent,percent,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, family",10.5,9.0,12.2,percent,percent,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",21.7,19.5,24.1,percent,percent,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, health",5.3,4.4,6.4,percent,percent,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, none",9.1,7.9,10.5,percent,percent,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, other",2.9,2.2,3.9,percent,percent,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",19.6,16.6,23.0,percent,percent,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",11.7,10.0,13.6,percent,percent,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, work",31.1,28.9,33.5,percent,percent,
2016,2016,British Columbia,Both sexes,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",89.3,85.1,92.4,percent,percent,
2016,2016,British Columbia,Both sexes,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",76.6,71.0,81.5,percent,percent,
2016,2016,British Columbia,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, family",8.6,6.1,12.0,percent,percent,E
2016,2016,British Columbia,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, none",8.7,6.0,12.7,percent,percent,E
2016,2016,British Columbia,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, other",2.2,1.2,4.0,percent,percent,E
2016,2016,British Columbia,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",61.4,55.8,66.8,percent,percent,
2016,2016,British Columbia,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",14.7,10.9,19.6,percent,percent,E
2016,2016,British Columbia,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",87.7,85.0,90.0,percent,percent,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",76.0,72.6,79.1,percent,percent,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family",11.2,8.9,14.0,percent,percent,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",25.6,22.5,28.9,percent,percent,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health",2.9,1.9,4.4,percent,percent,E
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none",3.7,2.6,5.3,percent,percent,E
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other",2.3,1.6,3.2,percent,percent,E
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",12.8,10.1,16.1,percent,percent,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",13.8,11.0,17.1,percent,percent,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work",27.8,24.6,31.2,percent,percent,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Ability to handle the day-to-day demands in life, good or excellent",87.1,84.0,89.7,percent,percent,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Ability to handle unexpected and difficult problems, good or excellent",81.8,78.7,84.6,percent,percent,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, family",18.5,15.7,21.7,percent,percent,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, financial concerns",24.5,21.5,27.8,percent,percent,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, health",4.9,3.4,7.0,percent,percent,E
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, none",4.0,2.7,5.7,percent,percent,E
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, other",2.5,1.6,4.0,percent,percent,E
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, time pressures/ not enough time",16.2,13.2,19.6,percent,percent,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, work",28.1,24.9,31.6,percent,percent,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Ability to handle the day-to-day demands in life, good or excellent",89.5,87.0,91.6,percent,percent,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Ability to handle unexpected and difficult problems, good or excellent",81.6,78.5,84.4,percent,percent,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, family",21.6,19.1,24.4,percent,percent,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, financial concerns",20.5,17.9,23.5,percent,percent,
