ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-07,2021,New Brunswick,"Total, all persons",Fair or poor perceived health,18.2,14.8,22.3,percent,percent,
2021-07,2021,New Brunswick,"Total, all persons",Good perceived health,30.0,25.7,34.7,percent,percent,
2021-07,2021,New Brunswick,Women,Excellent or very good perceived health,46.6,40.0,53.4,percent,percent,
2021-07,2021,New Brunswick,Women,Fair or poor perceived health,21.4,16.4,27.3,percent,percent,
2021-07,2021,New Brunswick,Women,Good perceived health,32.0,25.9,38.8,percent,percent,
2021-07,2021,Newfoundland and Labrador,Men,Excellent or very good perceived health,66.0,58.0,73.2,percent,percent,
2021-07,2021,Newfoundland and Labrador,Men,Fair or poor perceived health,9.7,5.7,16.0,percent,percent,
2021-07,2021,Newfoundland and Labrador,Men,Good perceived health,24.4,17.9,32.3,percent,percent,
2021-07,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,57.8,52.5,63.0,percent,percent,
2021-07,2021,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,15.1,11.5,19.6,percent,percent,
2021-07,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,27.0,22.7,31.9,percent,percent,
2021-07,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,50.2,43.1,57.2,percent,percent,
2021-07,2021,Newfoundland and Labrador,Women,Fair or poor perceived health,20.3,14.7,27.3,percent,percent,
2021-07,2021,Newfoundland and Labrador,Women,Good perceived health,29.5,23.8,36.0,percent,percent,
2021-07,2021,Nova Scotia,Men,Excellent or very good perceived health,61.7,54.9,68.1,percent,percent,
2021-07,2021,Nova Scotia,Men,Fair or poor perceived health,11.2,7.4,16.4,percent,percent,
2021-07,2021,Nova Scotia,Men,Good perceived health,27.1,21.3,33.9,percent,percent,
2021-07,2021,Nova Scotia,"Total, all persons",Excellent or very good perceived health,56.2,51.3,60.9,percent,percent,
2021-07,2021,Nova Scotia,"Total, all persons",Fair or poor perceived health,15.0,11.8,18.8,percent,percent,
2021-07,2021,Nova Scotia,"Total, all persons",Good perceived health,28.8,24.6,33.5,percent,percent,
2021-07,2021,Nova Scotia,Women,Excellent or very good perceived health,50.9,44.0,57.8,percent,percent,
2021-07,2021,Nova Scotia,Women,Fair or poor perceived health,18.6,13.8,24.7,percent,percent,
2021-07,2021,Nova Scotia,Women,Good perceived health,30.4,24.4,37.3,percent,percent,
2021-07,2021,Ontario,Men,Excellent or very good perceived health,53.4,50.2,56.5,percent,percent,
2021-07,2021,Ontario,Men,Fair or poor perceived health,14.9,12.6,17.6,percent,percent,
2021-07,2021,Ontario,Men,Good perceived health,31.7,28.8,34.8,percent,percent,
